"Timestamp","What is your current graduation year?","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","To what extent do you agree with the following statement: Joe Biden is too old to be an effective president.","To what extent do you agree with the following statement: Donald Trump is too old to be an effective president.","Should Brown have institutional neutrality? [""Institutional neutrality is the idea that colleges and universities should not, as institutions, take positions on social and political issues""]

(Definition from the Foundation for Individual Rights and Expression)","Do you identify more closely with capitalist or communist values?","How would you rate the effectiveness of using social media for political activism?","Do you think you are more lonely than the average Brown student?","Would you rather receive a final grade of a B or an S in a course?","Have you ever shoplifted before?","What is your love language?"
"2024/03/06 11:58:21 AM EST","2026","Woman","White","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, significantly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/06 12:00:06 PM EST","2027","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very effective","Unsure","I would rather receive a final grade of an S","Yes","Acts of service"
"2024/03/06 12:02:01 PM EST","2026","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/06 12:02:27 PM EST","2026","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/06 12:03:54 PM EST","2024","Woman","Black","Life Sciences","Somewhat agree","Somewhat agree","Unsure","I identify more closely with communist values","Very ineffective","No, significantly less lonely","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/06 12:04:08 PM EST","2025","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat disagree","Somewhat disagree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/06 12:05:08 PM EST","2024","Man","White","Humanities/Arts","Somewhat disagree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Words of affirmation"
"2024/03/06 12:12:00 PM EST","2027","Woman","Asian","Humanities/Arts;Life Sciences","Somewhat agree","Unsure","Yes, Brown should have institutional neutrality","Unsure","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Gift giving"
"2024/03/06 12:12:46 PM EST","2025","Woman","Asian;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very effective","Unsure","I would rather receive a final grade of a B","Yes","Quality time"
"2024/03/06 12:13:53 PM EST","2025","Woman","Asian","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat disagree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 12:13:55 PM EST","2025","Man","Asian","Life Sciences","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Gift giving"
"2024/03/06 12:15:25 PM EST","2026","Woman","Asian;White","Humanities/Arts","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","Unsure","Unsure","No, slightly less lonely","I would rather receive a final grade of a B","No","Acts of service"
"2024/03/06 12:15:36 PM EST","2025","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 12:15:57 PM EST","2025","Woman","White","Humanities/Arts","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 12:16:06 PM EST","2026","Man","Middle Eastern or North African","Humanities/Arts;Physical Sciences (including math, computer science)","Unsure","Unsure","Yes, Brown should have institutional neutrality","Unsure","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/06 12:16:55 PM EST","2026","Man","White","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat disagree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/06 12:19:27 PM EST","2024","Woman","Black;Middle Eastern or North African;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/06 12:19:59 PM EST","2024","Man","White","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Acts of service"
"2024/03/06 12:20:57 PM EST","2024","Man","White","Life Sciences;Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","Unsure","Very ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","I do not believe in love languages"
"2024/03/06 12:21:15 PM EST","2025","Man;Non-binary","White","Physical Sciences (including math, computer science)","Strongly agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Very effective","No, significantly less lonely","Prefer not to answer","No","Physical touch"
"2024/03/06 12:21:36 PM EST","2026","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 12:23:24 PM EST","2026","Woman","Black","Humanities/Arts","Somewhat agree","Strongly agree","No, Brown should not have institutional neutrality","Prefer not to answer","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/06 12:24:43 PM EST","2024","Non-binary","Black","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/06 12:26:45 PM EST","2024","Man","White","Social Sciences (including economics, CLPS)","Unsure","Somewhat agree","Yes, Brown should have institutional neutrality","Unsure","Very effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 12:26:47 PM EST","2026","Woman","White","Humanities/Arts","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/06 12:26:52 PM EST","2025","Woman","Hispanic or Latino;White","Humanities/Arts","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 12:29:05 PM EST","2027","Woman","Asian","Humanities/Arts","Somewhat agree","Prefer not to answer","Unsure","Unsure","Somewhat effective","Unsure","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/06 12:30:32 PM EST","2024","Man","White","Life Sciences","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
