"Timestamp","What is your current graduation year?","What is your gender identity?","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area? Check all that apply.","How would you describe your family’s socioeconomic status?","Would you support or oppose the U.S. government banning TikTok?","When was the last time you cried?","Do you regret choosing to take a class S/NC rather than for a letter grade?","If you had to choose, would you rather raise a child starting now or never have the opportunity? (Baby now or never)","Which of the following statements applies to you? Check all that apply.","Who is the current Chief Justice of the United States Supreme Court?","Do you approve or disapprove of Brown Concert Agency’s artist selections for Spring Weekend?","On average, how many alcoholic beverages do you consume each week at Brown?"
"2023/04/11 4:44:21 PM AST","2026","Woman","White","Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past month","I have never chosen to take a class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","Clarence Thomas","Somewhat approve","5-10 drinks"
"2023/04/11 4:45:37 PM AST","2025","Man","Asian","Physical Sciences (including math, computer science)","Middle class","Unsure","In the past month","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","John Roberts","Somewhat approve","5-10 drinks"
"2023/04/11 4:46:33 PM AST","2025","Woman","White","Physical Sciences (including math, computer science)","Upper-middle class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","","Somewhat disapprove","5-10 drinks"
"2023/04/11 4:48:46 PM AST","2026","Woman","White","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","no clue","Strongly disapprove","0-5 drinks"
"2023/04/11 4:49:27 PM AST","2026","Woman","Black","Physical Sciences (including math, computer science)","Lower class","Unsure","In the past month","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Unsure","Zero – I don’t drink"
"2023/04/11 4:49:53 PM AST","2025","Man","Hispanic","Social Sciences (including economics, CLPS)","Middle class","Unsure","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","John Roberts","Strongly disapprove","Zero – I don’t drink"
"2023/04/11 4:49:58 PM AST","2023","Woman","Hispanic;White","Social Sciences (including economics, CLPS)","Upper class","Support","In the past week","Yes, I regret choosing to take multiple classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat disapprove","10-15 drinks"
"2023/04/11 4:50:05 PM AST","2025","Man","White","Physical Sciences (including math, computer science)","Upper-middle class","Support","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","Kavanaugh","Somewhat disapprove","0-5 drinks"
"2023/04/11 4:53:00 PM AST","2026","Man","Hispanic;White","Physical Sciences (including math, computer science)","Upper class","Oppose","In the past year","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","","Unsure","10-15 drinks"
"2023/04/11 4:55:37 PM AST","2025","Woman","Asian","Life Sciences;Physical Sciences (including math, computer science)","Middle class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Unsure","Zero – I don’t drink"
"2023/04/12 11:04:52 AM AST","2026","Man","White","Physical Sciences (including math, computer science)","Lower-middle class","Support","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","John Roberts","Strongly disapprove","Zero – I don’t drink"
"2023/04/12 11:05:55 AM AST","2026","Woman","White","Humanities/Arts","Upper class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","","Somewhat disapprove","0-5 drinks"
"2023/04/12 11:09:48 AM AST","2024","Woman","Black","Life Sciences","Lower class","Oppose","In the past 6 months","I have never chosen to take a class S/NC","I would rather raise a child starting now","None of these statements applies to me","John Roberts ","Strongly approve","0-5 drinks"
"2023/04/12 11:10:56 AM AST","2023","Woman","Asian;White","Social Sciences (including economics, CLPS)","Upper class","Support","In the past month","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","None of these statements applies to me","No idea","Strongly disapprove","10-15 drinks"
"2023/04/12 11:11:47 AM AST","2024.5","Woman","Asian;White","Physical Sciences (including math, computer science)","Middle class","Oppose","In the past year","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","Idkkkk","Somewhat disapprove","0-5 drinks"
"2023/04/12 11:19:04 AM AST","2023","Woman","White","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","None of these statements applies to me","","Somewhat approve","5-10 drinks"
"2023/04/12 11:19:37 AM AST","2025","Woman","White","Life Sciences","Lower class","Unsure","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","","Somewhat approve","0-5 drinks"
"2023/04/12 11:20:40 AM AST","2023","Woman","White","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","I don’t know ","Somewhat approve","20+ drinks"
"2023/04/12 11:26:09 AM AST","2023.5","Man","Asian","Life Sciences","Middle class","Oppose","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","idk","Somewhat disapprove","Zero – I don’t drink"
"2023/04/12 11:29:17 AM AST","2025","Man","Hispanic","Social Sciences (including economics, CLPS)","Lower class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","Roberts","Somewhat disapprove","5-10 drinks"
"2023/04/12 11:29:29 AM AST","2025","Man","White","Life Sciences","Upper class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","Breyer","Strongly approve","0-5 drinks"
"2023/04/12 11:31:03 AM AST","2025","Woman","White","Social Sciences (including economics, CLPS)","Upper class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","None of these statements applies to me","","Unsure","0-5 drinks"
"2023/04/12 11:33:08 AM AST","2023","Woman","Asian","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take multiple classes S/NC","I would rather raise a child starting now","None of these statements applies to me","","Somewhat disapprove","0-5 drinks"
"2023/04/12 11:34:57 AM AST","2025","Woman","Hispanic;White","Humanities/Arts","Lower-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","","Somewhat approve","5-10 drinks"
"2023/04/12 11:38:46 AM AST","2026","Woman","Asian","Humanities/Arts","Upper-middle class","Support","In the past year","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","Zero – I don’t drink"
"2023/04/12 11:39:11 AM AST","2026","Woman","Asian","Humanities/Arts","Middle class","Oppose","In the past month","I have never chosen to take a class S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","","Unsure","Zero – I don’t drink"
"2023/04/12 11:42:58 AM AST","2025","Woman","White","Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","Roberts","Somewhat approve","0-5 drinks"
